date,symbol,actualEarningResult,estimatedEarning
2020-09-30,BMO.TO,8.325000000000001,7.7583150000000005
2020-06-30,BMO.TO,4.68,5.549445
2020-03-31,BMO.TO,10.845,10.7710137
2020-09-30,BNS.TO,5.720000000000001,6.16605
2020-06-30,BNS.TO,5.720000000000001,5.443899999999999
2020-03-31,BNS.TO,10.065000000000001,9.665700000000001
2020-06-30,ABX.TO,0.5750000000000001,0.471973
2020-03-31,ABX.TO,0.4,0.3993035
2020-06-30,BYL.TO,-0.6599999999999999,-0.05555
2020-03-31,BYL.TO,-0.32999999999999996,-0.38885000000000003
2020-06-30,BTE.TO,-1.375,-0.94435
2020-03-31,BTE.TO,-24.53,-0.16665
2020-06-30,BCE.TO,3.465,3.82867265
2020-03-31,BCE.TO,4.4,4.25885185
2020-11-25,ALXXF,0.01,-0.03
2020-11-25,ALGS,-11,-0.78
2020-11-25,PMDKF,-12,-7.06
2020-11-25,AZRGF,1.59,2.48
2020-11-25,ALBKF,0.03,0.05
2020-11-25,AVACF,0.04,0.14
2020-11-25,MYTEF,0.09,0.05
2020-11-25,DOOO,2.13,1.41
2020-11-25,TNABF,0.16,0.24
2020-11-25,WSTTF,0.06,0.05
2020-11-25,OTGLF,0.23,0.33
2020-11-25,VIOT,0.79,0.88
2020-11-25,DE,2.39,1.49
2020-11-25,FRO,0.29,0.31
2020-11-25,GRKZF,0.16,0.15
2020-11-25,CANWF,-0.02,-0.02
2020-11-25,GRSLF,-0.02,-0.01
2020-11-25,GASS,0.08,0.09
2020-11-25,SLSSF,-0.13,-0.04
2020-11-25,IFLXF,0.02,0.01
2020-11-25,SY,0.25,0.26
2020-11-25,RSGUF,0.14,0.1
2020-11-25,VLCJF,-0.01,-0.01
2020-11-25,VRRKF,0.2,0.18
2020-06-30,TCIEXP.NS,0.22,0.707
2020-06-30,BLU.TO,-0.679,-0.49490000000000006
2020-03-31,BLU.TO,-0.847,-0.42419999999999997
2020-11-26,AXXTF,0.04,0.03
2020-11-26,EKTAF,0.98,0.8
2020-11-26,BIOYF,0.07,0.09
2020-11-26,IHHHF,0.03,0.01
2020-11-26,GEBHF,-0.03,-0.06
2020-11-26,GMALF,0.01,-0.04
2020-11-26,MLYNF,0.17,0.14
2020-11-26,NTGSF,-0.01,-0.01
2020-11-26,SLGBF,-0.01,-0.01
2020-11-26,LAIX,-1.24,-2.63
2020-11-26,NNXPF,-0.01,-0.02
2020-11-27,GTBAF,0.03,-0.04
2020-11-27,CIMDF,0.02,0.06
2020-11-27,BRKCF,-0.01,-0.01
2020-11-27,PBLOF,0.36,0.31
2020-11-27,BKCYF,0.24,0.01
2020-11-27,XIN,0.46,0.66
2020-11-27,MCESF,0.22,0.13
2020-11-27,TLTFF,-0.01,-0.01
2020-06-30,BSX.TO,0,0
2020-03-31,BSX.TO,0,0
2020-06-30,BIR.TO,-0.525,-0.38885000000000003
2020-03-31,BIR.TO,-0.5950000000000001,-0.07070000000000001
2020-06-30,BDT.TO,0.7150000000000001,-0.1111
2020-03-31,BDT.TO,0.16499999999999998,-0.2222
2020-06-30,BDI.TO,-0.025,-0.12625
2020-03-31,BDI.TO,0,0
2020-10-25,PTAIF,66,73.04
2020-10-25,BDOUF,2.78,2.01
2020-10-25,CE,1.95,1.71
2020-10-25,GMBXF,0.1,0.06
2020-10-25,SAP,1.7,1.3
2020-10-25,SAPGF,1.7,1.29
2020-10-26,AMKR,0.38,0.31
2020-10-26,ARI,0.36,0.29
2020-10-26,PBAM,0.45,0.29
2020-10-26,ARE,0.63,0.61
2020-10-26,ACC,-0.15,-0.12
2020-10-26,PKG,1.57,1.42
2020-10-26,AGNC,0.81,0.57
2020-10-26,AJRD,0.38,0.46
2020-10-26,AMG,3.27,2.84
2020-10-26,GABC,0.55,0.51
2020-10-26,ARLP,0.21,-0.05
2020-10-26,MHSDF,0.64,1.2
2020-10-26,BYD,0.38,0.2
2020-10-26,CATY,0.71,0.61
2020-10-26,BOH,0.95,0.84
2020-10-26,FSBW,2.94,1.74
2020-10-26,CBNK,0.61,0.31
2020-10-26,NWBI,0.3,0.25
2020-10-26,TCBK,0.59,0.59
2020-10-26,CFBK,1.54,0.6
2020-10-26,BMRC,0.55,0.52
2020-10-26,IBTX,1.39,1.05
2020-10-26,NBTB,0.8,0.6
2020-10-26,FBNC,0.81,0.43
2020-10-26,FIBK,0.76,0.69
2020-10-26,CBU,0.85,0.69
2020-10-26,FBMS,0.56,0.52
2020-10-26,BRO,0.52,0.43
2020-10-26,NRIM,1.84,0.91
2020-10-26,CVLG,0.56,0.55
2020-10-26,LKFN,0.89,0.73
2020-10-26,PRK,1.88,1.62
2020-10-26,NRZ,0.31,0.37
2020-10-26,FIX,1.36,1.03
2020-10-26,UIS,0.51,0.07
2020-10-26,WFTBF,5.63,4.88
2020-10-26,CAJFF,15.93,2.7
2020-10-26,CAJ,0.14,0.01
2020-10-26,COCSF,1.17,1.51
2020-10-26,CHGG,0.17,0.1
2020-10-26,SI,0.37,0.23
2020-10-26,OTIS,0.69,0.56
2020-10-26,WEEEF,-0.12,-0.13
2020-10-26,CR,1.05,0.8
2020-10-26,CINF,0.39,0.33
2020-10-26,ROIC,0.06,0.04
2020-10-26,NDEKF,125.07,91.16
2020-10-26,OBIIF,104.67,104.47
2020-10-26,MC,0.54,0.03
2020-10-26,SSD,1.54,0.99
2020-10-26,PCH,1.2,1.18
2020-10-26,MRBK,1.51,0.71
2020-10-26,TSSLF,0.11,0.01
2020-10-26,SMPL,0.22,0.17
